Adria Airways
Aegean Airlines
Air Canada
Air China
Air New Zealand
All Nippon Airways
Asiana Airlines
Austrian Airlines
Blue1
BMI
Croatia Airlines
LOT Polish Airlines
Lufthansa
Scandinavian Airlines
Shanghai Airlines
Singapore Airlines
South African Airways
Spanair
SWISS
TAP Portugal
Thai Airways
Turkish Airlines
United Airlines
US Airways
Aeroflot
Aeroméxico
Air Europa
Air France
Alitalia
Copa Airlines
China Eastern Airlines
China Southern Airlines
Continental Airlines
ČSA České aerolinie
Delta Airlines
Kenya Airways
KLM
Korean Air
Northwest Airlines
American Airlines
British Airways
Cathay Pacific
Finnair
Iberia
Japan Airlines
LAN Airlines
Malév Hungarian Airlines
Qantas
Royal Jordanian
Aerolíneas Argentinas
Aerosvit Airlines
Afriqiyah Airways
Air Astana
Air Austral
Air Caraibes
Air India
Air Malta
Air Mauritius
Air Namibia
Air Seychelles
Avianca
Bangkok Airways
Belavia
Brussels Airlines
Bulgaria Air
Central Connect Airlines
Conviasa
EgyptAir
El Al
Emirates
Estonian Air
Etihad Airways
EVA Air
Garuda Indonesia
Gulf Air
Hahn Air
Hainan Airlines
China Airlines
Icelandair
Jet Airways
KD Avia
Kingfisher Airlines
Kuwait Airways
Malaysia Airlines
Mexicana
Olympic Airlines
Oman Air
Pegasus Airlines
Qatar Airways
Royal Brunei
SATA Air Acores
Saudi Arabian Airlines
SriLankan Airlines
TAM Airlines
TAROM
Transaero Airlines
TunisAir
Ukraine International
Vietnam Airlines
Virgin Atlantic
Yemenia Airways
Air Transat
ArkeFly
Corsairfly
Jetairfly
Sky Airlines
Thomas Cook
Travel Service
